Pais,Mes,Anio,Tipo_de_evento,Muertos
Brazil,2022-01-01,2022,Disturbios,0
Venezuela,2022-01-01,2022,Disturbios,0
Venezuela,2022-01-01,2022,Protestas,0
Brazil,2022-01-01,2022,Disturbios,0
Colombia,2022-01-01,2022,Protestas,0
Paraguay,2022-01-01,2022,Disturbios,0
Chile,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,1
Brazil,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,1
Peru,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Disturbios,0
Paraguay,2021-12-01,2021,Protestas,0
Paraguay,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Bolivia,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Chile,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Disturbios,0
Peru,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Disturbios,0
Uruguay,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Protestas,0
Ecuador,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Bolivia,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Disturbios,0
Argentina,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Disturbios,0
Venezuela,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Disturbios,0
Colombia,2021-12-01,2021,Disturbios,0
Venezuela,2021-12-01,2021,Protestas,0
Uruguay,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Disturbios,0
Argentina,2021-12-01,2021,Protestas,0
Peru,2021-12-01,2021,Protestas,0
Paraguay,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Protestas,0
Colombia,2021-12-01,2021,Protestas,0
Venezuela,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Paraguay,2021-12-01,2021,Protestas,0
Venezuela,2021-12-01,2021,Protestas,0
Bolivia,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Disturbios,0
Argentina,2021-12-01,2021,Protestas,0
Paraguay,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Paraguay,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Argentina,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Argentina,2021-12-01,2021,Protestas,0
Ecuador,2021-12-01,2021,Disturbios,2
Colombia,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Protestas,0
Brazil,2021-12-01,2021,Disturbios,0
Brazil,2021-12-01,2021,Disturbios,0
Peru,2021-12-01,2021,Protestas,0
